報告書名稱,丟出原因
2023_03228304.pdf,GRI格式錯誤或無法識別文字
2023_04465521.pdf,GRI格式錯誤或無法識別文字
2023_11099726.pdf,GRI格式錯誤或無法識別文字
2023_11456110.pdf,GRI格式錯誤或無法識別文字
2023_12148598.pdf,GRI格式錯誤或無法識別文字
2023_12803476.pdf,GRI格式錯誤或無法識別文字
2023_16130280.pdf,GRI格式錯誤或無法識別文字
2023_16446422.pdf,GRI格式錯誤或無法識別文字
2023_16467798.pdf,GRI格式錯誤或無法識別文字
2023_16491312.pdf,GRI格式錯誤或無法識別文字
2023_16691156.pdf,GRI格式錯誤或無法識別文字
2023_22190686.pdf,GRI格式錯誤或無法識別文字
2023_22223510.pdf,GRI格式錯誤或無法識別文字
2023_22301178.pdf,GRI格式錯誤或無法識別文字
2023_22306125.pdf,GRI格式錯誤或無法識別文字
2023_22764965.pdf,GRI表格含特殊符號，GRI格式錯誤或無法識別文字
2023_22822281.pdf,GRI格式錯誤或無法識別文字
2023_23123644.pdf,GRI表格含特殊符號，GRI格式錯誤或無法識別文字
2023_23420497.pdf,GRI格式錯誤或無法識別文字
2023_24311659.pdf,GRI格式錯誤或無法識別文字
2023_24347235.pdf,GRI格式錯誤或無法識別文字
2023_24626617.pdf,GRI格式錯誤或無法識別文字
2023_27964549.pdf,GRI格式錯誤或無法識別文字
2023_28113167.pdf,GRI格式錯誤或無法識別文字
2023_28288026.pdf,GRI格式錯誤或無法識別文字
2023_03244509.pdf,GRI表格含特殊符號
2023_03375001.pdf,GRI表格含特殊符號
2023_03458902.pdf,GRI表格含特殊符號
2023_03489200.pdf,GRI表格含特殊符號
2023_03546618.pdf,GRI表格含特殊符號
2023_03558206.pdf,GRI表格含特殊符號
2023_03795904.pdf,GRI表格含特殊符號
2023_04212250.pdf,GRI表格含特殊符號
2023_04406559.pdf,GRI表格含特殊符號
2023_04615057.pdf,GRI表格含特殊符號
2023_04633597.pdf,GRI表格含特殊符號
2023_12132033.pdf,GRI表格含特殊符號
2023_12139612.pdf,GRI表格含特殊符號
2023_12209807.pdf,GRI表格含特殊符號
2023_12486062.pdf,GRI表格含特殊符號
2023_16093877.pdf,GRI表格含特殊符號
2023_16447610.pdf,GRI表格含特殊符號
2023_16549778.pdf,GRI表格含特殊符號
2023_16596982.pdf,GRI表格含特殊符號
2023_16999508.pdf,GRI表格含特殊符號
2023_18606304.pdf,GRI表格含特殊符號
2023_20927014.pdf,GRI表格含特殊符號
2023_20982120.pdf,GRI表格含特殊符號
2023_21222725.pdf,GRI表格含特殊符號
2023_21230513.pdf,GRI表格含特殊符號
2023_21257316.pdf,GRI表格含特殊符號
2023_22099202.pdf,GRI表格含特殊符號
2023_22099478.pdf,GRI表格含特殊符號
2023_22325002.pdf,GRI表格含特殊符號
2023_22854522.pdf,GRI表格含特殊符號
2023_23218091.pdf,GRI表格含特殊符號
2023_23609668.pdf,GRI表格含特殊符號
2023_23821182.pdf,GRI表格含特殊符號
2023_23826736.pdf,GRI表格含特殊符號
2023_24262159.pdf,GRI表格含特殊符號
2023_25637751.pdf,GRI表格含特殊符號
2023_26829193.pdf,GRI表格含特殊符號
2023_28006928.pdf,GRI表格含特殊符號
2023_28112646.pdf,GRI表格含特殊符號
